# 0 = time (write this way for splash) step: 0
#           x           vx    num    pmass       smooth          rho     pressure       utherm  numngb
     -0.34796            0    134   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.34608            0    135   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.3442            0    136   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.34232            0    137   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.34044            0    138   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.33856            0    139   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.33668            0    140   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.3348            0    141   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.33292            0    142   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.33103            0    143   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.32915            0    144   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.32727            0    145   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.32539            0    146   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.32351            0    147   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.32163            0    148   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31975            0    149   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31787            0    150   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31599            0    151   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31411            0    152   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31223            0    153   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.31034            0    154   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.30846            0    155   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.30658            0    156   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.3047            0    157   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.30282            0    158   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.30094            0    159   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.29906            0    160   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.29718            0    161   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.2953            0    162   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.29342            0    163   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.29154            0    164   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28966            0    165   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28777            0    166   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28589            0    167   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28401            0    168   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28213            0    169   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.28025            0    170   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.27837            0    171   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.27649            0    172   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.27461            0    173   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.27273            0    174   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.27085            0    175   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.26897            0    176   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.26708            0    177   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.2652            0    178   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.26332            0    179   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.26144            0    180   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.25956            0    181   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.25768            0    182   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.2558            0    183   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.25392            0    184   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.25204            0    185   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.25016            0    186   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.24828            0    187   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.24639            0    188   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.24451            0    189   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.24263            0    190   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.24075            0    191   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.23887            0    192   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.23699            0    193   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.23511            0    194   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.23323            0    195   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.23135            0    196   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22947            0    197   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22759            0    198   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22571            0    199   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22382            0    200   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22194            0    201   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.22006            0    202   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.21818            0    203   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.2163            0    204   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.21442            0    205   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.21254            0    206   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.21066            0    207   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.20878            0    208   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.2069            0    209   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.20502            0    210   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.20313            0    211   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.20125            0    212   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.19937            0    213   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.19749            0    214   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.19561            0    215   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.19373            0    216   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.19185            0    217   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18997            0    218   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18809            0    219   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18621            0    220   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18433            0    221   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18245            0    222   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.18056            0    223   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.17868            0    224   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.1768            0    225   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.17492            0    226   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.17304            0    227   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.17116            0    228   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.16928            0    229   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.1674            0    230   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.16552            0    231   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.16364            0    232   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.16176            0    233   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15987            0    234   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15799            0    235   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15611            0    236   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15423            0    237   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15235            0    238   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.15047            0    239   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.14859            0    240   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.14671            0    241   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.14483            0    242   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.14295            0    243   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.14107            0    244   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.13918            0    245   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.1373            0    246   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.13542            0    247   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.13354            0    248   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.13166            0    249   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.12978            0    250   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.1279            0    251   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.12602            0    252   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.12414            0    253   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.12226            0    254   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.12038            0    255   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.1185            0    256   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.11661            0    257   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.11473            0    258   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.11285            0    259   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.11097            0    260   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.10909            0    261   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.10721            0    262   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.10533            0    263   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.10345            0    264   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.10157            0    265   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.099687            0    266   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.097806            0    267   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.095925            0    268   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.094044            0    269   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.092163            0    270   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.090282            0    271   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.088401            0    272   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.08652            0    273   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.084639            0    274   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.082759            0    275   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.080878            0    276   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.078997            0    277   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.077116            0    278   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.075235            0    279   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.073354            0    280   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.071473            0    281   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.069592            0    282   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.067712            0    283   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.065831            0    284   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.06395            0    285   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.062069            0    286   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.060188            0    287   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.058307            0    288   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.056426            0    289   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.054545            0    290   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.052665            0    291   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.050784            0    292   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.048903            0    293   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.047022            0    294   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.045141            0    295   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.04326            0    296   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.041379            0    297   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.039498            0    298   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.037618            0    299   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.035737            0    300   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.033856            0    301   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.031975            0    302   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.030094            0    303   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.028213            0    304   0.001875        0.015      0.99688      0.99688          2.5      30
    -0.026332            0    305   0.001875        0.015      0.99684      0.99684          2.5      29
    -0.024451            0    306   0.001875        0.015      0.99654      0.99654          2.5      28
    -0.022571            0    307   0.001875        0.015      0.99548      0.99548          2.5      27
     -0.02069            0    308   0.001875        0.015      0.99299      0.99299          2.5      27
    -0.018809            0    309   0.001875        0.015      0.98828      0.98828          2.5      26
    -0.016928            0    310   0.001875        0.015      0.98038      0.98038          2.5      25
    -0.015047            0    311   0.001875        0.015      0.96808      0.96808          2.5      24
    -0.013166            0    312   0.001875        0.015      0.94995      0.94995          2.5      24
    -0.011285            0    313   0.001875        0.015      0.92462      0.92462          2.5      23
   -0.0094044            0    314   0.001875        0.015      0.89134      0.89134          2.5      22
   -0.0075235            0    315   0.001875        0.015      0.85011      0.85011          2.5      21
   -0.0056426            0    316   0.001875        0.015      0.80153      0.80153          2.5      21
   -0.0037618            0    317   0.001875        0.015      0.74646      0.74646          2.5      20
   -0.0018809            0    318   0.001875        0.015      0.68636      0.68636          2.5      19
           -0            0    319   0.001875        0.015      0.62344      0.62344          2.5      18
       0.0075            0    320   0.001875        0.015      0.39733      0.28528        1.795      15
        0.015            0    321   0.001875        0.015      0.27917      0.20044        1.795      12
       0.0225            0    322   0.001875        0.015      0.25146      0.18055        1.795       9
         0.03            0    323   0.001875        0.015         0.25       0.1795        1.795       6
       0.0375            0    324   0.001875        0.015         0.25       0.1795        1.795       7
        0.045            0    325   0.001875        0.015         0.25       0.1795        1.795       6
       0.0525            0    326   0.001875        0.015         0.25       0.1795        1.795       7
         0.06            0    327   0.001875        0.015         0.25       0.1795        1.795       6
       0.0675            0    328   0.001875        0.015         0.25       0.1795        1.795       7
        0.075            0    329   0.001875        0.015         0.25       0.1795        1.795       6
       0.0825            0    330   0.001875        0.015         0.25       0.1795        1.795       7
         0.09            0    331   0.001875        0.015         0.25       0.1795        1.795       6
       0.0975            0    332   0.001875        0.015         0.25       0.1795        1.795       6
        0.105            0    333   0.001875        0.015         0.25       0.1795        1.795       7
       0.1125            0    334   0.001875        0.015         0.25       0.1795        1.795       6
         0.12            0    335   0.001875        0.015         0.25       0.1795        1.795       6
       0.1275            0    336   0.001875        0.015         0.25       0.1795        1.795       6
        0.135            0    337   0.001875        0.015         0.25       0.1795        1.795       7
       0.1425            0    338   0.001875        0.015         0.25       0.1795        1.795       7
         0.15            0    339   0.001875        0.015         0.25       0.1795        1.795       6
       0.1575            0    340   0.001875        0.015         0.25       0.1795        1.795       6
        0.165            0    341   0.001875        0.015         0.25       0.1795        1.795       6
       0.1725            0    342   0.001875        0.015         0.25       0.1795        1.795       7
         0.18            0    343   0.001875        0.015         0.25       0.1795        1.795       6
       0.1875            0    344   0.001875        0.015         0.25       0.1795        1.795       7
        0.195            0    345   0.001875        0.015         0.25       0.1795        1.795       6
       0.2025            0    346   0.001875        0.015         0.25       0.1795        1.795       6
         0.21            0    347   0.001875        0.015         0.25       0.1795        1.795       7
       0.2175            0    348   0.001875        0.015         0.25       0.1795        1.795       7
        0.225            0    349   0.001875        0.015         0.25       0.1795        1.795       6
       0.2325            0    350   0.001875        0.015         0.25       0.1795        1.795       6
         0.24            0    351   0.001875        0.015         0.25       0.1795        1.795       8
       0.2475            0    352   0.001875        0.015         0.25       0.1795        1.795       7
        0.255            0    353   0.001875        0.015         0.25       0.1795        1.795       6
       0.2625            0    354   0.001875        0.015         0.25       0.1795        1.795       7
         0.27            0    355   0.001875        0.015         0.25       0.1795        1.795       7
       0.2775            0    356   0.001875        0.015         0.25       0.1795        1.795       7
        0.285            0    357   0.001875        0.015         0.25       0.1795        1.795       7
       0.2925            0    358   0.001875        0.015         0.25       0.1795        1.795       7
          0.3            0    359   0.001875        0.015         0.25       0.1795        1.795       7
       0.3075            0    360   0.001875        0.015         0.25       0.1795        1.795       6
        0.315            0    361   0.001875        0.015         0.25       0.1795        1.795       8
       0.3225            0    362   0.001875        0.015         0.25       0.1795        1.795       7
         0.33            0    363   0.001875        0.015         0.25       0.1795        1.795       7
       0.3375            0    364   0.001875        0.015         0.25       0.1795        1.795       7
        0.345            0    365   0.001875        0.015         0.25       0.1795        1.795       7
       0.3525            0    366   0.001875        0.015         0.25       0.1795        1.795       8
